PositionX, PositionZ
14.61563,4.750384
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47646,5.387017
-14.47603,5.39219
-14.45769,5.496596
-14.36755,5.771733
-14.16175,6.159144
-13.8545,6.556009
-13.48275,6.893256
-13.05749,7.160603
-12.59487,7.348662
-12.10361,7.453866
-11.60415,7.471783
-11.10955,7.402748
-10.6342,7.249547
-10.18349,7.027981
-9.756947,6.766525
-9.341578,6.488122
-8.908069,6.195038
-8.49378,5.91495
-8.079432,5.63483
-7.659322,5.358232
-7.223788,5.107004
-6.765849,4.907106
-6.281756,4.77185
-5.788937,4.685146
-5.290605,4.620677
-4.794353,4.559324
-4.296049,4.497718
-3.799465,4.436324
-3.300741,4.374666
-2.779695,4.315069
-2.280604,4.285376
-1.778717,4.303429
-1.281453,4.355336
-0.7847149,4.41653
-0.2884632,4.477778
0.2108194,4.539401
0.7095404,4.596226
1.208913,4.627234
1.708948,4.633358
2.209383,4.635229
2.709417,4.637098
3.212012,4.638977
3.714916,4.640857
4.237532,4.64281
4.741864,4.644696
5.243902,4.646573
5.744835,4.648445
6.244875,4.650314
6.744891,4.652184
7.247941,4.654064
7.748792,4.655936
8.250319,4.657811
8.750853,4.659682
9.250881,4.661551
9.75093,4.663421
10.25386,4.665301
10.7543,4.667171
11.25684,4.66905
11.75833,4.670925
12.25986,4.6728
12.78348,4.674757
13.28682,4.676639
13.78882,4.678515
14.29139,4.680394
